node_id,row,col,degree,type,bfs_depth_from_root
119,128.66666666666666,440.6666666666667,3,junction,43
120,128.33333333333334,457.6666666666667,3,junction,45
121,128.66666666666666,479.3333333333333,3,junction,46
122,129.0,529.4,2,junction,45
123,129.0,482.0,1,endpoint,47
124,130.33333333333334,324.3333333333333,3,junction,37
125,131.6,447.0,2,junction,44
126,132.0,416.6,4,junction,43
127,133.0,457.5,3,junction,44
128,134.0,333.0,1,endpoint,38
129,134.66666666666666,392.6666666666667,3,junction,41
130,134.0,475.0,3,junction,45
131,134.0,531.0,3,junction,44
132,135.75,381.0,3,junction,39
133,135.0,415.0,3,junction,43
134,136.6,484.0,2,junction,46
135,136.0,358.0,1,endpoint,37
136,137.25,373.25,2,junction,38
137,136.33333333333334,387.6666666666667,3,junction,40
138,137.125,430.5,3,junction,42
139,137.0,453.0,3,junction,43
140,137.0,487.0,1,endpoint,47
141,137.75,515.0,3,junction,44
142,138.0,418.0,1,endpoint,44
143,139.66666666666666,348.3333333333333,3,junction,35
144,139.66666666666666,356.6666666666667,3,junction,36
145,139.0,387.0,1,endpoint,41
146,139.66666666666666,411.6666666666667,3,junction,42
147,139.66666666666666,527.6666666666666,3,junction,44
148,140.33333333333334,370.3333333333333,3,junction,37
149,140.5,511.5,2,junction,45
150,141.0,287.0,1,endpoint,36
151,141.0,470.0,1,endpoint,45
